archivo,variable,count,mean,std,var,min,p10,median,p90,max,iqr,cv,mad_scaled
DB_final_v3_u7,Numero_horas_con_deambulacion,799,13.123904881101376,4.070607003187572,16.569841374399704,0.0,7.800000000000011,14.0,17.0,24.0,5.0,0.31016736558715147,2.9652
DB_final_v3_u7,Numero_horas_estacionarias,799,3.7346683354192742,3.2296693358505673,10.430764018933443,0.0,0.0,3.0,8.0,13.0,6.0,0.86478076385543,4.4478
DB_final_v3_u7,Total_hrs_monitorizadas,799,16.834793491864833,6.000646659067265,36.00776032697513,1.0,9.0,16.0,24.0,25.0,10.0,0.35644314033118313,7.412999999999999
DB_final_v3_u7,Hrs_sin_registro,799,7.165206508135169,6.000646659067265,36.00776032697513,-1.0,0.0,8.0,15.0,23.0,10.0,0.8374701625493004,7.412999999999999
DB_final_v3_u7,min_totales_en_movimiento,799,118.10763454317897,54.23016417135152,2940.910706051738,1.0,52.0,115.0,183.20000000000005,377.0,58.5,0.4591588374545382,42.9954
DB_final_v3_u7,Total_min_de_ejercicio_diario,799,16.578197747183978,25.265902092093665,638.3658085272631,1.0,3.0,9.0,37.200000000000045,275.28,8.0,1.5240439568520292,5.9304
DB_final_v3_u7,distancia_caminada_en_km,799,4.17276375144065,1.8997248021998288,3.6089543240931787,0.0089176029,2.0031088936800003,4.1315734200000005,6.363157196000001,15.498053163900002,2.1257810050000003,0.45526775905871675,1.5859397848980004
DB_final_v3_u7,Numero_pasos_por_dia,799,5891.815594493117,2460.432039653198,6053725.821751996,11.48,2894.8,5933.0,8988.4,18557.359999999997,3012.0,0.4176016713681402,2246.1389999999997
DB_final_v3_u7,FCr_promedio_diario,799,56.08487373341677,7.686782772953242,59.08662939857073,41.9,48.0,55.0,65.0,92.302725,9.0,0.13705625530138735,7.412999999999999
DB_final_v3_u7,Gasto_calorico_activo,799,367.33165021276596,191.521624125764,36680.532507770426,1.95778,169.9436,369.549,514.5567280000001,1844.1881200000007,163.75150000000002,0.5213861207299474,114.79920059999996
DB_final_v3_u7,HRV_SDNN,799,47.17706396937839,13.514903170753664,182.65260771484742,17.590712,30.33506,46.13836,65.300065,96.00614666666664,17.761433333333336,0.28647190040325304,13.142537351999998
DB_final_v3_u7,FC_al_caminar_promedio_diario,799,94.06695869837297,7.452755243959258,55.54356072636222,66.5,86.0,93.5,103.5,127.0,9.0,0.07922819390660457,6.6716999999999995
