Dimension_SF36,Variable_Fuzzy,r_Pearson,p_Pearson,r_Spearman,p_Spearman,n
SG,Fuzzy_mean,0.5425438103422122,0.16472704349032724,0.494662632196045,0.21270051737141593,8
SG,Fuzzy_median,0.4845437118523489,0.2236675455244292,0.5369248441712194,0.17001838596871005,8
SG,Pct_semanas_sedentarias,0.6238009319332123,0.09837490958761963,0.29985614699320823,0.470562129947929,8
FF,Fuzzy_mean,0.549292792876579,0.1584914191828578,0.45643546458763845,0.25561794349476924,8
FF,Fuzzy_median,0.39821608679200193,0.32852412323290386,0.5520524474738834,0.15597940607130648,8
FF,Pct_semanas_sedentarias,0.6905407387931466,0.05795718839266898,0.22958842168866872,0.5844097474852437,8
RF,Fuzzy_mean,-0.26268204254255745,0.5296590944767516,-0.24743582965269675,0.554646423221937,8
RF,Fuzzy_median,0.21821789023599242,0.6036450565101363,0.21821789023599236,0.6036450565101363,8
RF,Pct_semanas_sedentarias,-0.351475887147114,0.39324586158507524,-0.4978438881870133,0.20931180842573605,8
DC,Fuzzy_mean,0.7448317840546992,0.033992280262242804,0.7031465352048644,0.05170246022163784,8
DC,Fuzzy_median,0.42107596051068247,0.2988421270115218,0.44905020936970896,0.2643702953807051,8
DC,Pct_semanas_sedentarias,0.7774636442105096,0.023157630850415046,0.5244292421729649,0.18210948539463784,8
V,Fuzzy_mean,0.600976523022197,0.11509140340479505,0.6385118052984962,0.08839046428932988,8
V,Fuzzy_median,0.17770466332772775,0.6737519593709561,0.27029495135979437,0.5173404071550229,8
V,Pct_semanas_sedentarias,0.7340803876889613,0.03813304957174036,0.706581420068023,0.05007189182887703,8
FS,Fuzzy_mean,-0.3917333691605022,0.3371824867694192,-0.18413573105258865,0.6624702474819881,8
FS,Fuzzy_median,0.21821789023599242,0.6036450565101363,0.1948709407384893,0.6437618069403261,8
FS,Pct_semanas_sedentarias,-0.4473239982058725,0.26643723648657835,-0.32726026830152255,0.4287910124289639,8
RE,Fuzzy_mean,-0.3304889570433346,0.4239759474202548,-0.16495721976846453,0.6962702003565553,8
RE,Fuzzy_median,0.4364357804743227,0.2796582909017851,0.4364357804719848,0.2796582909046579,8
RE,Pct_semanas_sedentarias,-0.550127489053949,0.15772931390445208,-0.5600743742103901,0.14880186443392782,8
SM,Fuzzy_mean,0.35396261893526526,0.38967123588476277,0.6386005678432409,0.08833208816147775,8
SM,Fuzzy_median,0.6972015744439928,0.05459900395768587,0.7650920556760059,0.02696539052448468,8
SM,Pct_semanas_sedentarias,0.29323906190189336,0.48088288680339225,0.3272787379567186,0.4287634028030005,8
SF36_GLOBAL,Fuzzy_mean,0.15544350611936267,0.7132043088192003,0.3333333333333334,0.4197530864197531,8
SF36_GLOBAL,Fuzzy_median,0.7451233664933272,0.03388401251552444,0.7559289460184545,0.030019745287544385,8
SF36_GLOBAL,Pct_semanas_sedentarias,0.037954750900806314,0.9289031577920649,-0.07185757571479554,0.8657301238340008,8
