Fecha;Numero_horas_con_deambulacion;Numero_horas_estacionarias;Total_hrs_monitorizadas;Hrs_sin_registro;min_totales_en_movimiento;Total_min_de_ejercicio_diario;distancia_caminada_en_km;Numero_pasos_por_dia;FCr_promedio_diario;Gasto_calorico_activo;HRV_SDNN;FC_al_caminar_promedio_diario;ratio_mov;ratio_ejercicio;superavit_calorico;cobertura_monitorizacion;ratio_actividad_sedentaria
31/10/2018;10;2;12;12;132;9;4.3989676;5134;52;495.822;102.5588667;90.5;0.183333333;0.068181818;22.12256553;0.5;5
01/11/2018;18;6;24;0;132;50;9.3011784;10526;43;824.607;94.55426667;88;0.091666667;0.378787879;36.79228109;1;3
02/11/2018;17;1;18;6;132;40;7.1252616;8258;48;716.78;89.5806;78;0.122222222;0.303030303;31.98126046;0.75;17
03/11/2018;19;6;25;-1;132;53;11.71385068;12605;42;1298.37507;107.4705333;95;0.088;0.401515152;57.93084529;1.041666667;3.166666667
04/11/2018;16;8;24;0;132;59;13.08337985;14871.93;46;1198.963;129.506;95;0.091666667;0.446969697;53.49528165;1;2
05/11/2018;17;7;24;0;132;63;11.43658608;13109;44;965.091;75.531;88.5;0.091666667;0.477272727;43.06039041;1;2.428571429
06/11/2018;18;6;24;0;132;77;8.30599017;9954;44;817.584;86.12825;90.5;0.091666667;0.583333333;36.47892917;1;3
07/11/2018;14;8;22;2;132;50;7.0295235;7616;48;510.776;73.04245;91;0.1;0.378787879;22.78978249;0.916666667;1.75
08/11/2018;17;0;17;7;132;56;10.888879;12475;53.42;911.764;47.66883333;91;0.129411765;0.424242424;40.68104852;0.708333333;#¡DIV/0!
09/11/2018;17;1;18;6;132;54;7.5005738;8701;44;899.989;96.97463333;97.25;0.122222222;0.409090909;40.15567206;0.75;17
10/11/2018;16;6;22;2;132;11;3.8457881;4612;42;619.306;86.179525;93;0.1;0.083333333;27.63216955;0.916666667;2.666666667
11/11/2018;11;13;24;0;132;6.74;2.797148651;3302.17;45;445.79979;66.62503333;117;0.091666667;0.051060606;19.89067663;1;0.846153846
12/11/2018;17;6;23;1;132;86.84;10.504696;12022;41;832.181;95.988225;98;0.095652174;0.657878788;37.13021751;0.958333333;2.833333333
13/11/2018;17;7;24;0;132;45;6.65177513;7948;44;770.111;121.0085;78;0.091666667;0.340909091;34.36078081;1;2.428571429
14/11/2018;17;6;23;1;132;22;5.5861344;6701;41;743.468;92.7579;95.125;0.095652174;0.166666667;33.17202454;0.958333333;2.833333333
15/11/2018;17;1;18;6;132;37;4.7632592;5653;44;960.66;52.7133;101;0.122222222;0.28030303;42.86268823;0.75;17
16/11/2018;18;7;25;-1;132;46;7.969699;9205;41;839.186;83.08646667;90;0.088;0.348484848;37.44276631;1.041666667;2.571428571
17/11/2018;18;5;23;1;132;21;5.564584;6597;52;811.636;40.67623267;129;0.095652174;0.159090909;36.21354155;0.958333333;3.6
18/11/2018;13;11;24;0;132;39;7.8510047;8790;48;871.867;94.71346667;112;0.091666667;0.295454545;38.90092582;1;1.181818182
19/11/2018;16;3;19;5;132;58;9.20911302;10488;44;849.024;76.8216;79;0.115789474;0.439393939;37.88171779;0.791666667;5.333333333
20/11/2018;14;9;23;1;132;23;6.95729918;8384;44;767.404;67.19445;95.5;0.095652174;0.174242424;34.24;0.958333333;1.555555556
21/11/2018;16;4;20;4;132;63;8.53626466;9765;43;769.333;66.96846667;97.5;0.11;0.477272727;34.32606804;0.833333333;4
22/11/2018;18;6;24;0;132;65;8.3719655;10011;43;908.523;63.6948;97;0.091666667;0.492424242;40.53644172;1;3
23/11/2018;19;5;24;0;132;67;7.1866111;13819;47;861.455;77.1485;99.5;0.091666667;0.507575758;38.43636364;1;3.8
24/11/2018;15;4;19;5;132;18;6.48446928;7822;52;859.336;82.710125;103;0.115789474;0.136363636;38.34181818;0.791666667;3.75
25/11/2018;12;11;23;1;132;17;3.5822112;4206;48;455.847;60.891675;134;0.095652174;0.128787879;20.33896263;0.958333333;1.090909091
26/11/2018;15;3;18;6;132;79;8.80560161;10471;48;820.218;135.44089;86;0.122222222;0.598484848;36.59645287;0.75;5
27/11/2018;15;8;23;1;132;58;7.58461861;8955;44;844.524;56.9605;90;0.095652174;0.439393939;37.68093698;0.958333333;1.875
28/11/2018;16;7;23;1;132;79;11.2573134;12299;42;913.72;55.38395;88;0.095652174;0.598484848;40.76832125;0.958333333;2.285714286
29/11/2018;17;0;17;7;132;84;10.7587784;11874;44;814.923;51.8465;84;0.129411765;0.636363636;36.36020078;0.708333333;#¡DIV/0!
30/11/2018;17;2;19;5;132;82;10.7881955;11430;52;1190.972;100.0217;95.5;0.115789474;0.621212121;53.13873954;0.791666667;8.5
01/12/2018;15;7;22;2;132;11;4.55896267;5503;45;657.961;68.128925;90;0.1;0.083333333;29.35687674;0.916666667;2.142857143
02/12/2018;15;7;22;2;132;12;5.5462235;6638;48;649.09;67.6616875;92.5;0.1;0.090909091;28.96107083;0.916666667;2.142857143
03/12/2018;17;6;23;1;132;58;8.7496437;9775;44;759.954;80.46706667;86;0.095652174;0.439393939;33.90759621;0.958333333;2.833333333
04/12/2018;17;0;17;7;132;23;8.1556419;9714;48;924.395;45.6036;79;0.129411765;0.174242424;41.24461796;0.708333333;#¡DIV/0!
05/12/2018;17;1;18;6;132;51;7.4899876;8419;54;699.626;58.1781;99.5;0.122222222;0.386363636;31.21588399;0.75;17
06/12/2018;16;2;18;6;132;74.1;7.6843396;8745;47.9262;698.857;100.6305667;75;0.122222222;0.561363636;31.18157278;0.75;8
07/12/2018;19;0;19;5;132;67;10.9557621;12717;44;964.106;85.7511;82;0.115789474;0.507575758;43.01644172;0.791666667;#¡DIV/0!
08/12/2018;18;3;21;3;132;25;6.57037651;7173;46;842.142;62.4906;80;0.104761905;0.189393939;37.574657;0.875;6
09/12/2018;14;8;22;2;132;8;5.1080001;6151;46;626.885;89.5761;82.5;0.1;0.060606061;27.97032906;0.916666667;1.75
10/12/2018;16;0;16;8;132;57;9.17459171;10473;48.6081;758.955;70.68385;77;0.1375;0.431818182;33.86302287;0.666666667;#¡DIV/0!
11/12/2018;14;4;18;6;132;40;4.1622619;5029;55;480.085;56.4458;88;0.122222222;0.303030303;21.42041272;0.75;3.5
12/12/2018;9;15;24;0;132;1.87;1.22295886;1450.1;62;263.886;27.9981225;82;0.091666667;0.014166667;11.77405466;1;0.6
13/12/2018;13;4;17;7;132;5;2.5991725;3065;51;430.676;22.93967342;94;0.129411765;0.037878788;19.21588399;0.708333333;3.25
14/12/2018;17;8;25;-1;132;9;6.46340034;7806;48;814.125;106.415;82.25;0.088;0.068181818;36.32459565;1.041666667;2.125
15/12/2018;13;0;13;11;132;6;4.7896292;5913;47;637.719;106.8476;86.5;0.169230769;0.045454545;28.45372002;0.541666667;#¡DIV/0!
16/12/2018;7;9;16;8;132;25;1.6772808;2014;51;211.9961;100.12005;96;0.1375;0.189393939;9.45883324;0.666666667;0.777777778
17/12/2018;17;5;22;2;132;65;12.19721341;14444;49;1044.052;60.7058;83;0.1;0.492424242;46.58346905;0.916666667;3.4
18/12/2018;16;1;17;7;132;15;6.4724551;7822;53;862.89;46.315;87.5;0.129411765;0.113636364;38.50039041;0.708333333;16
19/12/2018;18;0;18;6;132;18;7.3916827;8781;51;897.842;45.8844;87.5;0.122222222;0.136363636;40.0598773;0.75;#¡DIV/0!
20/12/2018;15;8;23;1;132;10;3.5350579;4291;47;629.551;66.66658;85.5;0.095652174;0.075757576;28.08928054;0.958333333;1.875
21/12/2018;15;8;23;1;132;21;7.77368392;9324;48;795.484;80.72666;85;0.095652174;0.159090909;35.49287228;0.958333333;1.875
22/12/2018;8;0;8;16;132;5;4.0502723;4805;56;455.356;64.57859;91;0.275;0.037878788;20.31705521;0.333333333;#¡DIV/0!
23/12/2018;8;0;8;16;132;20;6.3299606;7604;63.4;570.334;66.66658;86.5;0.275;0.151515152;25.44713887;0.333333333;#¡DIV/0!
24/12/2018;13;7;20;4;132;20;6.64561067;7962;48;716.933;63.6229;97;0.11;0.151515152;31.98808701;0.833333333;1.857142857
25/12/2018;7;1;8;16;132;4;1.4510981;1742;58;235.304;62.16435;103;0.275;0.03030303;10.49878416;0.333333333;7
26/12/2018;7;6;13;11;132;5;2.1324633;2542;50;249.154;85.8997;91;0.169230769;0.037878788;11.11674289;0.541666667;1.166666667
27/12/2018;15;1;16;8;132;33;11.5928073;13835;57;1061.804;39.5996;82;0.1375;0.25;47.37552705;0.666666667;15
28/12/2018;6;6;12;12;132;12;2.6346334;3143;47;316.387;34.6659;116;0.183333333;0.090909091;14.11654211;0.5;1
29/12/2018;14;8;22;2;132;14;6.0535094;7347;44;715.267;33.96496667;114;0.1;0.106060606;31.91375349;0.916666667;1.75
30/12/2018;16;1;17;7;132;12;7.76806506;9205;49;905.584;57.1724;79;0.129411765;0.090909091;40.40530954;0.708333333;16
31/12/2018;14;10;24;0;132;17;10.3664503;12642;43.3;1021.192;41.709575;100;0.091666667;0.128787879;45.56350251;1;1.4
01/01/2019;5;2;7;17;132;38;8.2638556;9953;59.4;653.481;35.07215;92;0.314285714;0.287878788;29.15698829;0.291666667;2.5
02/01/2019;11;9;20;4;132;21;11.98949669;14584;49;1111.448;45.8844;92;0.11;0.159090909;49.59054099;0.833333333;1.222222222
03/01/2019;12;0;12;12;132;10;9.8089758;11821;49;885.264;22.091465;95;0.183333333;0.075757576;39.49867262;0.5;#¡DIV/0!
04/01/2019;17;0;17;7;132;36;17.30217958;20644.2;55;1425.9389;59.355;95;0.129411765;0.272727273;63.62248299;0.708333333;#¡DIV/0!
05/01/2019;15;1;16;8;132;18;16.4362793;19639;53;1319.961;55.1302;83.5;0.1375;0.136363636;58.89396542;0.666666667;15
06/01/2019;11;8;19;5;132;26;12.0004104;14135;50;1070.909;50.42735;87.75;0.115789474;0.196969697;47.78177356;0.791666667;1.375
07/01/2019;16;0;16;8;132;27;12.95138151;15322;58;1213.157;46.0684625;91.5;0.1375;0.204545455;54.12858896;0.666666667;#¡DIV/0!
08/01/2019;18;0;18;6;132;20;10.1290912;12076;53;1057.421;45.5547;106;0.122222222;0.151515152;47.17996654;0.75;#¡DIV/0!
09/01/2019;16;0;16;8;132;20;14.0549166;16849;49;1196.392;48.1862;93.25;0.1375;0.151515152;53.38056888;0.666666667;#¡DIV/0!
10/01/2019;18;0;18;6;132;19;10.79344951;12631;52;1069.861;43.6321375;93;0.122222222;0.143939394;47.73501394;0.75;#¡DIV/0!
11/01/2019;18;0;18;6;132;19;9.2768335;11017;40.3;1046.81;45.5547;92.25;0.122222222;0.143939394;46.70652538;0.75;#¡DIV/0!
12/01/2019;11;9;20;4;132;20;8.3159708;9824;44;804.937;104.180595;88.5;0.11;0.151515152;35.91464584;0.833333333;1.222222222
13/01/2019;12;11;23;1;132;16;5.82792114;6955;46;690.515;82.37393333;92.25;0.095652174;0.121212121;30.80936977;0.958333333;1.090909091
14/01/2019;14;6;20;4;132;16;8.9717956;10528;41;925.732;68.8699;92.25;0.11;0.121212121;41.30427217;0.833333333;2.333333333
15/01/2019;16;0;16;8;132;17;12.00845201;14296;55;1106.618;30.9612;95;0.1375;0.128787879;49.37503625;0.666666667;#¡DIV/0!
16/01/2019;18;1;19;5;132;20;10.6478871;12663;51;1080.734;56.6569;91.5;0.115789474;0.151515152;48.22014501;0.791666667;18
17/01/2019;18;6;24;0;132;9;7.9983213;9605;45;871.465;56.38835;92.25;0.091666667;0.068181818;38.8829894;1;3
18/01/2019;17;2;19;5;132;21;7.6086222;9195;47;868.22;60.973;86;0.115789474;0.159090909;38.73820413;0.791666667;8.5
19/01/2019;15;9;24;0;132;19;7.1755095;9068;45;850.742;91.62865;90;0.091666667;0.143939394;37.95837144;1;1.666666667
20/01/2019;7;3;10;14;132;23;6.4772645;7182;54;561.7;46.0876;99;0.22;0.174242424;25.06190742;0.416666667;2.333333333
21/01/2019;17;7;24;0;132;24;9.232538;10847;47;1018.505;86.43055;86;0.091666667;0.181818182;45.44361405;1;2.428571429
22/01/2019;17;6;23;1;132;28;9.4585177;11214;43;991.661;76.60046667;91.5;0.095652174;0.212121212;44.24588957;0.958333333;2.833333333
23/01/2019;17;0;17;7;132;20;9.0174339;10659;52;1068.395;60.0107;118;0.129411765;0.151515152;47.66960402;0.708333333;#¡DIV/0!
24/01/2019;18;0;18;6;132;8.3;7.6649178;9094;51.8919;1017.722;78.12285;83.5;0.122222222;0.062878788;45.40867819;0.75;#¡DIV/0!
25/01/2019;19;6;25;-1;132;26;8.1935793;9888;50;1044.938;40.94925;84;0.088;0.196969697;46.62300056;1.041666667;3.166666667
26/01/2019;13;4;17;7;132;9;3.708286749;4435.7;42;517.2269;60.7834;92;0.129411765;0.068181818;23.07760848;0.708333333;3.25
27/01/2019;14;10;24;0;132;13;4.50027853;5464;45;612.208;80.63468;68;0.091666667;0.098484848;27.31547128;1;1.4
28/01/2019;15;6;21;3;132;83.4;9.8520849;11281;47;734.13;38.32212;106;0.104761905;0.631818182;32.75538204;0.875;2.5
29/01/2019;18;6;24;0;132;68;8.4974464;9889;51;851.184;41.67026667;88;0.091666667;0.515151515;37.97809258;1;3
30/01/2019;19;6;25;-1;132;65;9.35539343;10490;52;961.231;49.1714;88;0.088;0.492424242;42.88816509;1.041666667;3.166666667
