,Numero_horas_con_deambulacion,Numero_horas_estacionarias,Total_hrs_monitorizadas,Hrs_sin_registro,min_totales_en_movimiento,Total_min_de_ejercicio_diario,distancia_caminada_en_km,Numero_pasos_por_dia,FCr_promedio_diario,Gasto_calorico_activo,HRV_SDNN,FC_al_caminar_promedio_diario
Numero_horas_con_deambulacion,1.0,-0.14042636110037324,0.875793034996676,-0.875793034996676,0.6146518278858498,0.3420439152850753,0.6665057351405078,0.6638496456833772,-0.16455066665261936,0.5987525172670741,0.0334041004685668,-0.04188099988155576
Numero_horas_estacionarias,-0.14042636110037324,1.0,0.35033869050310473,-0.35033869050310473,-0.10220675107583273,0.002405029470093672,-0.05629623487498639,-0.0484182020076614,-0.1726580599869374,0.0958971264923141,0.05309833997033853,-0.046966316501453664
Total_hrs_monitorizadas,0.875793034996676,0.35033869050310473,1.0,-1.0,0.5195899715254277,0.31368139096722436,0.5900358241515843,0.5917144046995363,-0.2106967403741075,0.5859625303727187,0.05725097220849425,-0.054718940774945844
Hrs_sin_registro,-0.875793034996676,-0.35033869050310473,-1.0,1.0,-0.5195899715254277,-0.31368139096722436,-0.5900358241515843,-0.5917144046995363,0.2106967403741075,-0.5859625303727187,-0.05725097220849425,0.054718940774945844
min_totales_en_movimiento,0.6146518278858498,-0.10220675107583273,0.5195899715254277,-0.5195899715254277,1.0,0.7019167080278456,0.7109192057491814,0.7710209596505936,-0.1862017581032849,0.5226419729364988,0.015397355782539332,-0.03570820999889908
Total_min_de_ejercicio_diario,0.3420439152850753,0.002405029470093672,0.31368139096722436,-0.31368139096722436,0.7019167080278456,1.0,0.33901130921772515,0.41118860868962076,-0.13951762774837229,0.2772138234666314,0.04371943469547394,0.0015817803100118353
distancia_caminada_en_km,0.6665057351405078,-0.05629623487498639,0.5900358241515843,-0.5900358241515843,0.7109192057491814,0.33901130921772515,1.0,0.8866055944614376,-0.17774516254651349,0.6924013593039727,-0.024103924974256227,-0.03385374588388143
Numero_pasos_por_dia,0.6638496456833772,-0.0484182020076614,0.5917144046995363,-0.5917144046995363,0.7710209596505936,0.41118860868962076,0.8866055944614376,1.0,-0.18324784074378836,0.6128645525953085,-0.02481354896560043,-0.040087464729731535
FCr_promedio_diario,-0.16455066665261936,-0.1726580599869374,-0.2106967403741075,0.2106967403741075,-0.1862017581032849,-0.13951762774837229,-0.17774516254651349,-0.18324784074378836,1.0,-0.2210439832243901,-0.21806899200956545,0.30490569749699853
Gasto_calorico_activo,0.5987525172670741,0.0958971264923141,0.5859625303727187,-0.5859625303727187,0.5226419729364988,0.2772138234666314,0.6924013593039727,0.6128645525953085,-0.2210439832243901,1.0,-0.007153101895851516,-0.06540234259159837
HRV_SDNN,0.0334041004685668,0.05309833997033853,0.05725097220849425,-0.05725097220849425,0.015397355782539332,0.04371943469547394,-0.024103924974256227,-0.02481354896560043,-0.21806899200956545,-0.007153101895851516,1.0,-0.20904289317771
FC_al_caminar_promedio_diario,-0.04188099988155576,-0.046966316501453664,-0.054718940774945844,0.054718940774945844,-0.03570820999889908,0.0015817803100118353,-0.03385374588388143,-0.040087464729731535,0.30490569749699853,-0.06540234259159837,-0.20904289317771,1.0
