Dimension_SF36,Variable_Fuzzy,r_Pearson,p_Pearson,r_Spearman,p_Spearman,n
FF,Fuzzy_mean,-0.9999735662083258,0.004628878793217639,-0.8660254037844387,0.3333333333333332,3
FF,Fuzzy_median,,,,,3
FF,Pct_semanas_sedentarias,-0.9959931561368899,0.057008740952479965,-0.8660254037844387,0.3333333333333332,3
RF,Fuzzy_mean,-0.5062836206796442,0.6620377878734682,-0.8660254037844387,0.3333333333333332,3
RF,Fuzzy_median,,,,,3
RF,Pct_semanas_sedentarias,-0.5754447846090591,0.6096579257141862,-0.8660254037844387,0.3333333333333332,3
DC,Fuzzy_mean,0.999973566208326,0.004628878793198197,0.8660254037844387,0.3333333333333332,3
DC,Fuzzy_median,,,,,3
DC,Pct_semanas_sedentarias,0.99599315613689,0.057008740952479965,0.8660254037844387,0.3333333333333332,3
SG,Fuzzy_mean,-0.9472661858335601,0.20766673621645867,-1.0,0.0,3
SG,Fuzzy_median,,,,,3
SG,Pct_semanas_sedentarias,-0.9703977415208245,0.15528687405717595,-1.0,0.0,3
V,Fuzzy_mean,0.999973566208326,0.004628878793198197,0.8660254037844387,0.3333333333333332,3
V,Fuzzy_median,,,,,3
V,Pct_semanas_sedentarias,0.9959931561368899,0.057008740952479965,0.8660254037844387,0.3333333333333332,3
FS,Fuzzy_mean,-0.7986000625596323,0.41114860716685914,-0.5,0.6666666666666667,3
FS,Fuzzy_median,,,,,3
FS,Pct_semanas_sedentarias,-0.7464342415367841,0.46352846932614117,-0.5,0.6666666666666667,3
RE,Fuzzy_mean,-0.9472661858335604,0.2076667362164578,-1.0,0.0,3
RE,Fuzzy_median,,,,,3
RE,Pct_semanas_sedentarias,-0.9703977415208246,0.15528687405717595,-1.0,0.0,3
SM,Fuzzy_mean,-0.4936899455286817,0.6712955454598653,0.0,1.0,3
SM,Fuzzy_median,,,,,3
SM,Pct_semanas_sedentarias,-0.42054837152783076,0.7236754076191472,0.0,1.0,3
