test_user,n_train,n_test,tau_opt,f1_train,f1_test,accuracy_test,precision_test,recall_test,mcc_test,tn,fp,fn,tp
u1,1226,159,0.1,0.5513866231647635,0.47342995169082125,0.31446540880503143,0.98,0.31210191082802546,-0.04510128715416734,1,1,108,49
u10,1252,133,0.20000000000000004,0.5470355731225296,0.5748502994011976,0.46616541353383456,0.7868852459016393,0.4528301886792453,-0.023128521539492543,14,13,58,48
u2,1377,8,0.20000000000000004,0.556907659269864,0.6666666666666666,0.5,0.8,0.5714285714285714,-0.29277002188455997,0,1,3,4
u3,1244,141,0.1,0.5633608815426997,0.5871559633027523,0.6808510638297872,0.8,0.463768115942029,0.3910683110112226,64,8,37,32
u4,1370,15,0.40000000000000013,0.5541125541125541,0.42857142857142855,0.4666666666666667,1.0,0.2727272727272727,0.30151134457776363,4,0,8,3
u5,1370,15,0.40000000000000013,0.5574007220216607,0.3076923076923077,0.4,0.6666666666666666,0.2,0.0,4,1,8,2
u6,1082,303,0.1,0.6471009305654974,0.18497109826589594,0.5346534653465347,0.8888888888888888,0.1032258064516129,0.1897098938739013,146,2,139,16
u7,1268,117,0.45000000000000007,0.536115569823435,0.8730964467005076,0.7863247863247863,1.0,0.7747747747747747,0.3872420535284412,6,0,25,86
u8,1193,192,0.1,0.5560283687943263,0.4153846153846154,0.6041666666666666,0.6923076923076923,0.2967032967032967,0.2207793015157075,89,12,64,27
u9,1083,302,0.1,0.5711849957374254,0.5120481927710844,0.46357615894039733,0.7456140350877193,0.38990825688073394,0.04129087284920754,55,29,133,85
