test_user,n_train,n_test,tau_opt,f1_train,f1_test,accuracy_test,precision_test,recall_test,mcc_test,tn,fp,fn,tp
u1,1226,159,0.20000000000000004,0.7627471383975026,0.9936708860759493,0.9874213836477987,0.9874213836477987,1.0,0.0,0,2,0,157
u10,1252,133,0.40000000000000013,0.8448360254527656,0.8870292887029289,0.7969924812030075,0.7969924812030075,1.0,0.0,0,27,0,106
u2,1377,8,0.45000000000000007,0.8445040214477212,0.6666666666666666,0.5,0.8,0.5714285714285714,-0.29277002188455997,0,1,3,4
u3,1244,141,0.1,0.8785747773089545,0.5454545454545454,0.3971631205673759,0.4322033898305085,0.7391304347826086,-0.25899107704010516,5,67,18,51
u4,1370,15,0.30000000000000004,0.8443248093315389,0.8461538461538461,0.7333333333333333,0.7333333333333333,1.0,0.0,0,4,0,11
u5,1370,15,0.30000000000000004,0.8447037701974865,0.8333333333333334,0.7333333333333333,0.7142857142857143,1.0,0.37796447300922725,1,4,0,10
u6,1082,303,0.1,0.8656878738444806,0.676923076923077,0.5148514851485149,0.5133333333333333,0.9935483870967742,0.03565307994902807,2,146,1,154
u7,1268,117,0.40000000000000013,0.8320235756385069,0.9779735682819384,0.9572649572649573,0.9568965517241379,1.0,0.3993529248931197,1,5,0,111
u8,1193,192,0.30000000000000004,0.8846153846153846,0.5263157894736842,0.390625,0.4166666666666667,0.7142857142857143,-0.23884840798937104,10,91,26,65
u9,1083,302,0.40000000000000013,0.8407789232531501,0.8469184890656064,0.7450331125827815,0.7473684210526316,0.9770642201834863,0.23314040966026803,12,72,5,213
