,Numero_horas_con_deambulacion,Numero_horas_estacionarias,Total_hrs_monitorizadas,Hrs_sin_registro,min_totales_en_movimiento,Total_min_de_ejercicio_diario,distancia_caminada_en_km,Numero_pasos_por_dia,FCr_promedio_diario,Gasto_calorico_activo,HRV_SDNN,FC_al_caminar_promedio_diario
Numero_horas_con_deambulacion,1.0,-0.138588254845273,0.6647888282449617,-0.6647888282449614,0.5685382306315611,0.312270149896385,0.565347756908634,0.6031627507201849,-0.1600493461564968,0.33139628931250026,-0.00886171811639549,-0.0849486694518922
Numero_horas_estacionarias,-0.138588254845273,1.0,0.6476906232816064,-0.6476906232816076,-0.17178731541663586,-0.0937316542208691,-0.19116885390913857,-0.18128792369035618,-0.30698945317330767,-0.045737475270479604,0.17119204092765922,-0.02410294878079336
Total_hrs_monitorizadas,0.6647888282449617,0.6476906232816064,1.0,-1.0,0.3078110780321171,0.16953521973455998,0.2907368638903178,0.32728226225543744,-0.3546956708143445,0.22045198910299388,0.12231436810613974,-0.08353444177773015
Hrs_sin_registro,-0.6647888282449614,-0.6476906232816076,-1.0,1.0,-0.30781107803211727,-0.16953521973456004,-0.29073686389031683,-0.32728226225543694,0.354695670814344,-0.22045198910299382,-0.12231436810613854,0.08353444177772906
min_totales_en_movimiento,0.5685382306315611,-0.17178731541663586,0.3078110780321171,-0.30781107803211727,1.0,0.5552991946994702,0.6226942393520822,0.6817449023209192,-0.04871696756217939,0.3584927413247729,-0.07279541949529238,0.020295525615039202
Total_min_de_ejercicio_diario,0.312270149896385,-0.0937316542208691,0.16953521973455998,-0.16953521973456004,0.5552991946994702,1.0,0.4720501402009032,0.5856399866376517,-0.03162361027308087,0.272098898967243,-0.012954718595193674,0.04374552263191403
distancia_caminada_en_km,0.565347756908634,-0.19116885390913857,0.2907368638903178,-0.29073686389031683,0.6226942393520822,0.4720501402009032,1.0,0.8656007999552954,-0.06365458440204341,0.5864415728558332,0.05335959162565112,-0.054472718708613484
Numero_pasos_por_dia,0.6031627507201849,-0.18128792369035618,0.32728226225543744,-0.32728226225543694,0.6817449023209192,0.5856399866376517,0.8656007999552954,1.0,-0.11307928270515595,0.36752697482783686,0.02754600079077821,-0.047379000598093045
FCr_promedio_diario,-0.1600493461564968,-0.30698945317330767,-0.3546956708143445,0.354695670814344,-0.04871696756217939,-0.03162361027308087,-0.06365458440204341,-0.11307928270515595,1.0,-0.02813841566887462,-0.4211425167838305,0.26143406164017996
Gasto_calorico_activo,0.33139628931250026,-0.045737475270479604,0.22045198910299388,-0.22045198910299382,0.3584927413247729,0.272098898967243,0.5864415728558332,0.36752697482783686,-0.02813841566887462,1.0,-0.026209754938416988,0.029719287194685792
HRV_SDNN,-0.00886171811639549,0.17119204092765922,0.12231436810613974,-0.12231436810613854,-0.07279541949529238,-0.012954718595193674,0.05335959162565112,0.02754600079077821,-0.4211425167838305,-0.026209754938416988,1.0,-0.2919823547789148
FC_al_caminar_promedio_diario,-0.0849486694518922,-0.02410294878079336,-0.08353444177773015,0.08353444177772906,0.020295525615039202,0.04374552263191403,-0.054472718708613484,-0.047379000598093045,0.26143406164017996,0.029719287194685792,-0.2919823547789148,1.0
