semana_idx,usuario_id,semana_inicio,Actividad_relativa_p50_valor,Actividad_relativa_p50_norm,Superavit_calorico_basal_p50_valor,Superavit_calorico_basal_p50_norm,HRV_SDNN_p50_valor,HRV_SDNN_p50_norm,Delta_cardiaco_p50_valor,Delta_cardiaco_p50_norm,s_Bajo,s_Medio,s_Alto,Sedentarismo_score,Sedentarismo_label
0,u9,2022-08-09,0.0927536231884058,0.2270778098484554,28.35792526491913,0.33402394576250244,65.50203333333333,0.9218342721163204,45.0,0.5,0.0,0.0,0.0,0.0,0
1,u3,2023-10-24,0.1372549019607843,0.505127253665059,53.96935371785963,0.931225217772782,36.00584,0.1855488905831911,55.0,0.8571428571428571,0.0,0.0,0.0,0.0,0
2,u2,2025-02-04,0.1964285714285714,0.8748515927849065,33.10736269341949,0.44477021197898114,41.51593333333333,0.323092102562064,39.5,0.30357142857142855,0.0,0.0,0.0,0.0,0
3,u7,2024-10-08,0.1035714285714285,0.29466878370453,19.770919540229887,0.13379416353982476,46.06154,0.4365597524734833,41.75,0.38392857142857145,0.0,0.0,0.0,0.0,0
4,u1,2023-02-14,0.0716666666666666,0.09532392109742639,20.185972369819343,0.1434722679156793,52.7901,0.6045183873651909,34.0,0.10714285714285714,0.0,0.0,0.0,0.0,0
5,u7,2023-05-16,0.1703703703703703,0.7120367588976783,12.05080459770115,0.0,43.47235,0.37192826848950145,32.0,0.03571428571428571,0.0,0.0,0.0,0.0,0
6,u8,2022-08-16,0.1477777777777777,0.5708754714462133,50.145716154349245,0.8420665353185622,63.40110000000001,0.8693906742788708,43.0,0.42857142857142855,0.0,0.0,0.0,0.0,0
7,u1,2023-06-06,0.0702380952380952,0.08639803172695922,23.93850513637973,0.2309729454186095,53.53935952380952,0.6232214392512792,38.5,0.26785714285714285,0.0,0.0,0.0,0.0,0
8,u8,2021-06-29,0.1270833333333333,0.4415740462601383,27.10827992151733,0.3048850092126516,64.614725,0.8996852392779864,43.5,0.44642857142857145,0.0,0.0,0.0,0.0,0
9,u6,2023-06-13,0.3033333333333333,1.0,22.793826530612247,0.20428159859805334,24.1183,0.0,50.0,0.6785714285714286,0.0,0.0,0.0,0.0,0
