Usuario,Semanas (N),% Datos observados*,Accuracy,Precision,Recall,F1,MCC,τ usado,TP,FP,TN,FN
u1 – ale,149,100.0,0.993,0.993,1.000,0.997,0.000,0.30,148,1,0,0
u10 – vane,131,100.0,0.809,0.809,1.000,0.895,0.000,0.30,106,25,0,0
u2 – brenda,7,100.0,0.429,0.750,0.500,0.600,-0.354,0.30,3,1,0,3
u3 – christina,141,100.0,0.277,0.123,0.875,0.215,0.060,0.30,14,100,25,2
u4 – edson,14,100.0,0.714,0.714,1.000,0.833,0.000,0.30,10,4,0,0
u5 – esmeralda,14,100.0,0.714,0.692,1.000,0.818,0.372,0.30,9,4,1,0
u6 – fidel,278,100.0,0.817,0.827,0.982,0.898,0.104,0.30,224,47,3,4
u7 – kevin,114,100.0,0.947,0.947,1.000,0.973,0.000,0.30,108,6,0,0
u8 – legarda,191,100.0,0.440,0.315,0.868,0.462,0.151,0.30,46,100,38,7
u9 – lmartinez,298,100.0,0.856,0.869,0.976,0.919,0.305,0.30,245,37,10,6
